date,open_price,highest_price,lowest_price,close_price,volume,symbol,is_quarter,is_annual
2019-08-02,112.4,113.43,111.4,112.93,11025527,JPM,False,False
2019-08-01,115.33,116.8,112.6,112.94,15664530,JPM,False,False
2019-07-31,116.1,116.18,114.86,116.0,13647968,JPM,False,False
2019-07-30,115.19,116.08,114.76,115.59,7121146,JPM,False,False
2019-07-29,116.46,117.18,115.79,115.85,8500370,JPM,False,False
2019-07-26,115.77,116.51,115.53,116.22,12800364,JPM,False,False
2019-07-25,116.89,117.24,115.32,115.71,10138368,JPM,False,False
2019-07-24,115.58,116.88,115.52,116.83,10011034,JPM,False,False
2019-07-23,114.88,116.45,114.82,116.36,12752167,JPM,False,False
2019-07-22,112.91,114.45,112.77,114.27,9061487,JPM,False,False
2019-07-19,114.89,115.12,113.4,113.54,10402772,JPM,False,False
2019-07-18,113.93,115.07,113.55,114.67,9400654,JPM,False,False
2019-07-17,114.43,114.94,113.73,113.99,13120924,JPM,False,False
2019-07-16,113.48,115.5,112.92,115.12,16944998,JPM,False,False
2019-07-15,115.54,115.57,113.53,113.9,12946597,JPM,False,False
2019-07-12,114.13,115.35,113.93,115.3,10783395,JPM,False,False
2019-07-11,113.37,114.36,113.12,114.1,11595170,JPM,False,False
2019-07-10,113.37,113.83,112.74,113.02,9242253,JPM,False,False
2019-07-09,112.28,113.49,112.15,113.35,8947322,JPM,False,False
2019-07-08,112.96,113.48,112.5,112.87,6917209,JPM,False,False
2019-07-05,113.51,114.27,112.92,113.49,7929536,JPM,False,False
2019-07-03,113.34,113.87,112.26,112.82,6849443,JPM,False,False
2019-07-02,113.51,114.2,113.22,113.8,10182625,JPM,False,False
2019-07-01,113.23,114.52,113.08,113.68,12762478,JPM,False,False
2019-06-28,111.04,112.43,110.9,111.8,21634683,JPM,False,False
2019-06-27,108.84,109.55,108.44,108.84,10906607,JPM,False,False
2019-06-26,108.3,109.31,108.16,108.48,10324609,JPM,False,False
2019-06-25,108.68,108.98,107.67,107.76,18660111,JPM,False,False
2019-06-24,109.28,109.77,108.54,108.66,13039577,JPM,False,False
2019-06-21,110.19,111.67,109.09,109.44,27089546,JPM,False,False
2019-06-20,110.88,111.085,109.0331,110.19,13638199,JPM,False,False
2019-06-19,110.82,111.59,109.695,109.91,13126542,JPM,False,False
2019-06-18,109.01,111.41,108.98,110.71,11057340,JPM,False,False
2019-06-17,109.7,110.37,109.06,109.22,8128583,JPM,False,False
2019-06-14,109.57,110.3,108.63,109.82,9077685,JPM,False,False
2019-06-13,109.46,110.16,109.05,109.54,8406903,JPM,False,False
2019-06-12,110.7,110.9,108.89,109.27,9670511,JPM,False,False
2019-06-11,110.82,111.57,110.37,110.68,9847999,JPM,False,False
2019-06-10,110.75,111.21,110.22,110.34,11380602,JPM,False,False
